nios2-terminal: connected to hardware target using JTAG UART on cable,,,,,
"nios2-terminal: ""USB-Blaster [USB-0]""", device 1, instance 0,,,
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate),,,,,
,,,,,
[INFO] lab mode is Interrupt,,,,,
[INFO] period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
[INFO] 312,156,1607,270,1280,0
[INFO] 314,157,1588,275,1289,0
[INFO] 316,158,1815,278,1486,0
[INFO] 318,159,1957,283,1561,0
[INFO] 320,160,2011,283,1552,0
[INFO] 322,161,2056,284,1543,0
[INFO] 324,162,729,272,549,0
[INFO] 326,163,1619,283,1216,0
[INFO] 328,164,836,274,598,0
[INFO] 330,165,1273,282,934,0
[INFO] 332,166,938,280,678,0
[INFO] 334,167,792,283,562,0
[INFO] 336,168,325,267,206,0
[INFO] 338,169,429,281,287,0
[INFO] 340,170,36,273,1,0
[INFO] 342,171,22,269,1,0
[INFO] 344,172,1,276,1,0
[INFO] 346,173,65,254,1,0
[INFO] 348,174,122,254,1,0
[INFO] 350,175,175,254,1,0
[INFO] 352,176,236,254,1,0
[INFO] 354,177,296,254,1,0
[INFO] 356,178,349,254,1,0
[INFO] 358,179,397,254,1,0
[INFO] 360,180,480,254,1,0
[INFO] 362,181,523,254,1,0
[INFO] 364,182,569,254,1,0
[INFO] 366,183,621,254,1,0
[INFO] 368,184,676,254,1,0
[INFO] 370,185,724,254,1,0
[INFO] 372,186,792,254,1,0
[INFO] 374,187,831,254,1,0
[INFO] 376,188,882,254,1,0
[INFO] 378,189,925,254,1,0
[INFO] 380,190,973,254,1,0
[INFO] 382,191,1025,254,1,0
[INFO] 384,192,1079,254,1,0
[INFO] 386,193,1145,254,1,0
[INFO] 388,194,1158,254,1,0
[INFO] 390,195,1214,254,1,0
[INFO] 392,196,1260,254,1,0
[INFO] 394,197,1298,254,1,0
[INFO] 396,198,1340,254,1,0
[INFO] 398,199,1389,254,1,0
[INFO] 400,200,1431,254,1,0
[INFO] 402,201,1472,254,1,0
[INFO] 404,202,1516,254,1,0
[INFO] 406,203,1558,254,1,0
[INFO] 408,204,1626,254,1,0
[INFO] 410,205,1618,254,1,0
[INFO] 412,206,1661,254,1,0
[INFO] 414,207,1717,254,1,0
[INFO] 416,208,1754,254,1,0
[INFO] 418,209,1786,254,1,0
[INFO] 420,210,1843,254,1,0
[INFO] 422,211,1887,254,1,0
[INFO] 424,212,1902,254,1,0
[INFO] 426,213,1947,254,1,0
[INFO] 428,214,1993,254,1,0
[INFO] 430,215,2025,254,1,0
[INFO] 432,216,2048,254,1,0
[INFO] 434,217,2097,254,1,0
[INFO] 436,218,2140,254,1,0
[INFO] 438,219,2173,254,1,0
[INFO] 440,220,2262,254,1,0
[INFO] 442,221,2252,254,1,0
[INFO] 444,222,2289,254,1,0
[INFO] 446,223,2315,254,1,0
[INFO] 448,224,2352,254,1,0
[INFO] 450,225,2382,254,1,0
[INFO] 452,226,2423,254,1,0
[INFO] 454,227,2467,254,1,0
[INFO] 456,228,2495,254,1,0
[INFO] 458,229,2536,254,1,0
[INFO] 460,230,2597,254,1,0
[INFO] 462,231,2586,254,1,0
[INFO] 464,232,2640,254,1,0
[INFO] 466,233,2645,254,1,0
[INFO] 468,234,2679,254,1,0
[INFO] 470,235,2724,254,2,0
[INFO] 472,236,2764,254,1,0
[INFO] 474,237,2800,254,1,0
[INFO] 476,238,2789,254,1,0
[INFO] 478,239,2840,254,1,0
[INFO] 480,240,2872,254,1,0
[INFO] 482,241,2901,254,1,0
[INFO] 484,242,2939,254,1,0
[INFO] 486,243,2980,254,1,0
[INFO] 488,244,3016,254,1,0
[INFO] 490,245,3048,254,1,0
[INFO] 492,246,3066,254,1,0
[INFO] 494,247,3101,254,1,0
[INFO] 496,248,3129,254,1,0
[INFO] 498,249,3143,254,1,0
[INFO] 500,250,3187,254,1,0
[INFO] 502,251,3210,254,0,0
[INFO] 504,252,3231,254,0,0
[INFO] 506,253,3280,254,1,0
[INFO] 508,254,3294,254,0,0
[INFO] 510,255,3314,254,1,0
[INFO] 512,256,3334,254,0,0
[INFO] 514,257,3389,254,0,0
[INFO] 516,258,3428,254,0,0
[INFO] 518,259,3432,254,0,0
[INFO] 520,260,3464,254,0,0
[INFO] 522,261,3497,254,0,0
[INFO] 524,262,3528,254,0,0
[INFO] 526,263,3562,254,0,0
[INFO] 528,264,3583,254,0,0
[INFO] 530,265,3756,254,0,0
[INFO] 532,266,3663,254,0,0
[INFO] 534,267,3729,254,0,0
[INFO] 536,268,3716,254,0,0
[INFO] 538,269,3738,254,0,0
[INFO] 540,270,3755,254,0,0
[INFO] 542,271,3775,254,0,0
[INFO] 544,272,3789,254,0,0
[INFO] 546,273,3809,254,0,0
[INFO] 548,274,3831,254,0,0
[INFO] 550,275,3847,254,0,0
[INFO] 552,276,3866,254,0,0
[INFO] 554,277,3883,254,0,0
[INFO] 556,278,3908,254,0,0
[INFO] 558,279,3926,254,0,0
[INFO] 560,280,3952,254,0,0
[INFO] 562,281,3987,254,0,0
[INFO] 564,282,4002,254,0,0
[INFO] 566,283,4022,254,0,0
[INFO] 568,284,4060,254,0,0
[INFO] 570,285,4077,254,0,0
[INFO] 572,286,4105,254,0,0
[INFO] 574,287,4131,254,0,0
[INFO] 576,288,4150,254,0,0
[INFO] 578,289,4172,254,0,0
[INFO] 580,290,4197,254,0,0
[INFO] 582,291,4223,254,0,0
[INFO] 584,292,4251,254,0,0
[INFO] 586,293,4249,254,0,0
[INFO] 588,294,4285,254,0,0
[INFO] 590,295,4308,254,0,0
[INFO] 592,296,4327,254,0,0
[INFO] 594,297,4359,254,0,0
[INFO] 596,298,4371,254,0,0
[INFO] 598,299,4388,254,0,0
[INFO] 600,300,4427,254,0,0
[INFO] 602,301,4413,254,0,0
[INFO] 604,302,4442,254,0,0
[INFO] 606,303,4475,254,0,0
[INFO] 608,304,4494,254,0,0
[INFO] 610,305,4511,254,0,0
[INFO] 612,306,4535,254,0,0
[INFO] 614,307,4543,254,0,0
[INFO] 616,308,4562,254,0,0
[INFO] 618,309,4585,254,0,0
[INFO] 620,310,4606,254,0,0
[INFO] 622,311,4627,254,0,0
[INFO] 624,312,4645,254,0,0
[INFO] 626,313,4668,254,0,0
[INFO] 628,314,4680,254,0,0
[INFO] 630,315,4705,254,0,0
[INFO] 632,316,4729,254,0,0
[INFO] 634,317,4743,254,0,0
[INFO] 636,318,4758,254,0,0
[INFO] 638,319,4768,254,0,0
[INFO] 640,320,4790,254,0,0
[INFO] 642,321,4811,254,0,0
[INFO] 644,322,4823,254,0,0
[INFO] 646,323,4847,254,0,0
[INFO] 648,324,4861,254,0,0
[INFO] 650,325,4877,254,0,0
[INFO] 652,326,4891,254,0,0
[INFO] 654,327,4909,254,0,0
[INFO] 656,328,4936,254,0,0
[INFO] 658,329,4945,254,0,0
[INFO] 660,330,4961,254,0,0
[INFO] 662,331,4983,254,0,0
[INFO] 664,332,5003,254,0,0
[INFO] 666,333,4988,254,0,0
[INFO] 668,334,5018,254,0,0
[INFO] 670,335,5044,254,0,0
[INFO] 672,336,5059,254,0,0
[INFO] 674,337,5079,254,0,0
[INFO] 676,338,5093,254,0,0
[INFO] 678,339,5106,254,0,0
[INFO] 680,340,5129,254,0,0
[INFO] 682,341,5149,254,0,0
[INFO] 684,342,5155,254,0,0
[INFO] 686,343,5171,254,0,0
[INFO] 688,344,5184,254,0,0
[INFO] 690,345,5200,254,0,0
[INFO] 692,346,5221,254,0,0
[INFO] 694,347,5231,254,0,0
[INFO] 696,348,5244,254,0,0
[INFO] 698,349,5261,254,0,0
[INFO] 700,350,5289,254,0,0
[INFO] 702,351,5292,254,0,0
[INFO] 704,352,5309,254,0,0
[INFO] 706,353,5321,254,0,0
[INFO] 708,354,5333,254,0,0
[INFO] 710,355,5348,254,0,0
[INFO] 712,356,5362,254,0,0
[INFO] 714,357,5377,254,0,0
[INFO] 716,358,5394,254,0,0
[INFO] 718,359,5407,254,0,0
[INFO] 720,360,5422,254,0,0
[INFO] 722,361,5441,254,0,0
[INFO] 724,362,5467,254,0,0
[INFO] 726,363,5492,255,0,0
[INFO] 728,364,5477,254,0,0
[INFO] 730,365,5507,254,0,0
[INFO] 732,366,5513,254,0,0
[INFO] 734,367,5520,254,0,0
[INFO] 736,368,5531,254,0,0
[INFO] 738,369,5538,254,0,0
[INFO] 740,370,5546,254,0,0
[INFO] 742,371,5566,254,0,0
[INFO] 744,372,5579,254,0,0
[INFO] 746,373,5588,254,0,0
[INFO] 748,374,5604,254,0,0
[INFO] 750,375,5618,254,0,0
[INFO] 752,376,5634,254,0,0
[INFO] 754,377,5649,254,0,0
[INFO] 756,378,5651,254,0,0
[INFO] 758,379,5670,254,0,0
[INFO] 760,380,5684,254,0,0
[INFO] 762,381,5695,254,0,0
[INFO] 764,382,5709,254,0,0
[INFO] 766,383,5727,254,0,0
[INFO] 768,384,5729,254,0,0
[INFO] 770,385,5745,254,0,0
[INFO] 772,386,5762,254,0,0
[INFO] 774,387,5770,254,0,0
[INFO] 776,388,5781,254,0,0
[INFO] 778,389,5795,254,0,0
[INFO] 780,390,5810,254,0,0
[INFO] 782,391,5820,254,0,0
[INFO] 784,392,5834,254,0,0
[INFO] 786,393,5843,254,0,0
[INFO] 788,394,5852,254,0,0
[INFO] 790,395,5889,254,0,0
[INFO] 792,396,5875,254,0,0
[INFO] 794,397,5879,254,0,0
[INFO] 796,398,5896,254,0,0
[INFO] 798,399,5913,254,0,0
[INFO] 800,400,5920,254,0,0
[INFO] 802,401,5936,254,0,0
[INFO] 804,402,5952,254,0,0
[INFO] 806,403,5952,254,0,0
[INFO] 808,404,5970,254,0,0
[INFO] 810,405,5980,254,0,0
[INFO] 812,406,5987,254,0,0
[INFO] 814,407,5999,254,0,0
[INFO] 816,408,6008,254,0,0
[INFO] 818,409,6024,254,0,0
[INFO] 820,410,6039,254,0,0
[INFO] 822,411,6053,254,0,0
[INFO] 824,412,6051,254,0,0
[INFO] 826,413,6068,254,0,0
[INFO] 828,414,6079,254,0,0
[INFO] 830,415,6087,254,0,0
[INFO] 832,416,6099,254,0,0
[INFO] 834,417,6111,254,0,0
[INFO] 836,418,6117,254,0,0
[INFO] 838,419,6127,254,0,0
[INFO] 840,420,6137,254,0,0
[INFO] 842,421,6158,254,0,0
[INFO] 844,422,6152,254,0,0
[INFO] 846,423,6165,254,0,0
[INFO] 848,424,6180,254,0,0
[INFO] 850,425,6186,254,0,0
[INFO] 852,426,6197,254,0,0
[INFO] 854,427,6212,254,0,0
[INFO] 856,428,6214,254,0,0
[INFO] 858,429,6226,254,0,0
[INFO] 860,430,6238,254,0,0
[INFO] 862,431,6247,254,0,0
[INFO] 864,432,6259,254,0,0
[INFO] 866,433,6270,254,0,0
[INFO] 868,434,6281,254,0,0
[INFO] 870,435,6290,254,0,0
[INFO] 872,436,6291,254,0,0
[INFO] 874,437,6310,254,0,0
[INFO] 876,438,6319,254,0,0
[INFO] 878,439,6327,254,0,0
[INFO] 880,440,6346,254,0,0
[INFO] 882,441,6344,254,0,0
[INFO] 884,442,6359,254,0,0
[INFO] 886,443,6360,254,0,0
[INFO] 888,444,6365,254,0,0
[INFO] 890,445,6386,254,0,0
[INFO] 892,446,6390,254,0,0
[INFO] 894,447,6415,254,0,0
[INFO] 896,448,6408,254,0,0
[INFO] 898,449,6417,254,0,0
[INFO] 900,450,6428,254,0,0
[INFO] 902,451,6433,254,0,0
[INFO] 904,452,6445,254,0,0
[INFO] 906,453,6453,254,0,0
[INFO] 908,454,6460,254,0,0
[INFO] 910,455,6472,254,0,0
[INFO] 912,456,6561,254,0,0
[INFO] 914,457,6499,254,0,0
[INFO] 916,458,6533,254,0,0
[INFO] 918,459,6520,254,0,0
[INFO] 920,460,6531,254,0,0
[INFO] 922,461,6535,254,0,0
[INFO] 924,462,6538,254,0,0
[INFO] 926,463,6542,254,0,0
[INFO] 928,464,6548,254,0,0
[INFO] 930,465,6555,254,0,0
[INFO] 932,466,6555,254,0,0
[INFO] 934,467,6568,254,0,0
[INFO] 936,468,6584,254,0,0
[INFO] 938,469,6586,254,0,0
[INFO] 940,470,6595,254,0,0
[INFO] 942,471,6602,254,0,0
[INFO] 944,472,6616,254,0,0
[INFO] 946,473,6628,254,0,0
[INFO] 948,474,6629,254,0,0
[INFO] 950,475,6639,254,0,0
[INFO] 952,476,6644,254,0,0
[INFO] 954,477,6655,254,0,0
[INFO] 956,478,6678,254,0,0
[INFO] 958,479,6671,254,0,0
[INFO] 960,480,6681,254,0,0
[INFO] 962,481,6682,254,0,0
[INFO] 964,482,6696,254,0,0
[INFO] 966,483,6706,254,0,0
[INFO] 968,484,6712,254,0,0
[INFO] 970,485,6717,254,0,0
[INFO] 972,486,6728,254,0,0
[INFO] 974,487,6731,254,0,0
[INFO] 976,488,6746,254,0,0
[INFO] 978,489,6748,254,0,0
[INFO] 980,490,6754,254,0,0
[INFO] 982,491,6772,254,0,0
[INFO] 984,492,6759,254,0,0
[INFO] 986,493,6772,254,0,0
[INFO] 988,494,6788,254,0,0
[INFO] 990,495,6795,254,0,0
[INFO] 992,496,6801,254,0,0
[INFO] 994,497,6808,254,0,0
[INFO] 996,498,6812,254,0,0
[INFO] 998,499,6819,254,0,0
[INFO] 1000,500,6829,254,0,0
[INFO] 1002,501,6838,254,0,0
[INFO] 1004,502,6846,254,0,0
[INFO] 1006,503,6852,254,0,0
[INFO] 1008,504,6863,254,0,0
[INFO] 1010,505,6865,254,0,0
[INFO] 1012,506,6877,254,0,0
[INFO] 1014,507,6887,254,0,0
[INFO] 1016,508,6891,254,0,0
[INFO] 1018,509,6896,254,0,0
[INFO] 1020,510,6899,254,0,0
[INFO] 1022,511,6909,254,0,0
[INFO] 1024,512,6913,254,0,0
[INFO] 1026,513,6920,254,0,0
[INFO] 1028,514,6932,254,0,0
[INFO] 1030,515,6937,254,0,0
[INFO] 1032,516,6944,254,0,0
[INFO] 1034,517,6947,254,0,0
[INFO] 1036,518,6955,254,0,0
[INFO] 1038,519,6969,254,0,0
[INFO] 1040,520,6970,254,0,0
[INFO] 1042,521,6976,254,0,0
[INFO] 1044,522,6987,254,0,0
[INFO] 1046,523,6994,254,0,0
[INFO] 1048,524,6982,254,0,0
[INFO] 1050,525,6998,254,0,0
[INFO] 1052,526,7010,254,0,0
[INFO] 1054,527,7016,254,0,0
[INFO] 1056,528,7026,254,0,0
[INFO] 1058,529,7030,254,0,0
[INFO] 1060,530,7035,254,0,0
[INFO] 1062,531,7046,254,0,0
[INFO] 1064,532,7056,254,0,0
[INFO] 1066,533,7056,254,0,0
[INFO] 1068,534,7064,254,0,0
[INFO] 1070,535,7067,254,0,0
[INFO] 1072,536,7074,254,0,0
[INFO] 1074,537,7084,254,0,0
[INFO] 1076,538,7082,254,0,0
[INFO] 1078,539,7092,254,0,0
[INFO] 1080,540,7099,254,0,0
[INFO] 1082,541,7115,254,0,0
[INFO] 1084,542,7112,254,0,0
[INFO] 1086,543,7121,254,0,0
[INFO] 1088,544,7125,254,0,0
[INFO] 1090,545,7129,254,0,0
[INFO] 1092,546,7137,254,0,0
[INFO] 1094,547,7142,254,0,0
[INFO] 1096,548,7148,254,0,0
[INFO] 1098,549,7157,254,0,0
[INFO] 1100,550,7162,254,0,0
[INFO] 1102,551,7168,254,0,0
[INFO] 1104,552,7178,254,0,0
[INFO] 1106,553,7192,254,0,0
[INFO] 1108,554,7205,255,0,0
[INFO] 1110,555,7192,254,0,0
[INFO] 1112,556,7208,254,0,0
[INFO] 1114,557,7210,254,0,0
[INFO] 1116,558,7211,254,0,0
[INFO] 1118,559,7215,254,0,0
[INFO] 1120,560,7216,254,0,0
[INFO] 1122,561,7220,254,0,0
[INFO] 1124,562,7230,254,0,0
[INFO] 1126,563,7236,254,0,0
[INFO] 1128,564,7238,254,0,0
[INFO] 1130,565,7246,254,0,0
[INFO] 1132,566,7252,254,0,0
[INFO] 1134,567,7259,254,0,0
[INFO] 1136,568,7267,254,0,0
[INFO] 1138,569,7266,254,0,0
[INFO] 1140,570,7275,254,0,0
[INFO] 1142,571,7282,254,0,0
[INFO] 1144,572,7287,254,0,0
[INFO] 1146,573,7294,254,0,0
[INFO] 1148,574,7303,254,0,0
[INFO] 1150,575,7303,254,0,0
[INFO] 1152,576,7310,254,0,0
[INFO] 1154,577,7318,254,0,0
[INFO] 1156,578,7322,254,0,0
[INFO] 1158,579,7326,254,0,0
[INFO] 1160,580,7332,254,0,0
[INFO] 1162,581,7340,254,0,0
[INFO] 1164,582,7343,254,0,0
[INFO] 1166,583,7350,254,0,0
[INFO] 1168,584,7353,254,0,0
[INFO] 1170,585,7356,254,0,0
[INFO] 1172,586,7378,254,0,0
[INFO] 1174,587,7367,254,0,0
[INFO] 1176,588,7368,254,0,0
[INFO] 1178,589,7377,254,0,0
[INFO] 1180,590,7386,254,0,0
[INFO] 1182,591,7389,254,0,0
[INFO] 1184,592,7396,254,0,0
[INFO] 1186,593,7404,254,0,0
[INFO] 1188,594,7401,254,0,0
[INFO] 1190,595,7411,254,0,0
[INFO] 1192,596,7417,254,0,0
[INFO] 1194,597,7419,254,0,0
[INFO] 1196,598,7423,254,0,0
[INFO] 1198,599,7428,254,0,0
[INFO] 1200,600,7436,254,0,0
[INFO] 1202,601,7445,254,0,0
[INFO] 1204,602,7452,254,0,0
[INFO] 1206,603,7448,254,0,0
[INFO] 1208,604,7458,254,0,0
[INFO] 1210,605,7463,254,0,0
[INFO] 1212,606,7466,254,0,0
[INFO] 1214,607,7471,254,0,0
[INFO] 1216,608,7479,254,0,0
[INFO] 1218,609,7480,254,0,0
[INFO] 1220,610,7483,254,0,0
